family,accession,trait,cpg,region_id,k_iv,method,beta,se,lo,hi,p,Qp,mean_F,p_bh
Platelet,GCST90018969,Platelet count,cg15445000,84604,15,ivw_re,0.010475387905480209,0.00762728587497702,-0.00447409240947475,0.025424868220435166,0.16962503630966871,2.208342952947362e-10,410.97954938698894,0.40212672575007263
Platelet,GCST90018969,Platelet count,cg18129748,106528,4,ivw_fe,0.041397517680927885,0.012558065800830827,0.016783708711299465,0.06601132665055631,0.0009790167294566575,0.14002687017847942,93.81870373504762,0.013706234212393205
Platelet,GCST90018969,Platelet count,cg19490609,12268,24,ivw_re,-0.025761323956541095,0.013824439647369837,-0.052857225665385976,0.0013345777523037852,0.06239723304749413,0.0,193.27971619765344,0.2185321244327601
Platelet,GCST90018969,Platelet count,cg24308560,106528,29,ivw_re,-0.0004059296387426663,0.003733198948272115,-0.0077229995773560114,0.006911140299870678,0.9134126270942917,1.2160599749400092e-09,576.5815219388185,0.9972279397678887
Platelet,GCST90018969,Platelet count,cg25753631,12268,29,ivw_re,-0.002841549735373359,0.009188614910145112,-0.020851234959257777,0.01516813548851106,0.7571337979796672,0.0,333.18061369475754,0.9247574119068547
Platelet,GCST90018969,Platelet count,cg27360567,106528,20,ivw_re,0.005816795656116977,0.005688871989262766,-0.005333393442838044,0.016966984755072,0.3065506285094997,1.189019715963635e-06,355.26006743156677,0.5680648886636642
RBC,GCST90018971,Red blood cell count,cg00387872,12268,58,ivw_re,-0.008389781043023388,0.0029480345181366785,-0.014167928698571277,-0.0026116333874754982,0.004428753360726384,0.0,736.7876238675574,0.04133503136677959
RBC,GCST90018971,Red blood cell count,cg15445000,84604,15,ivw_re,-0.02179536277117467,0.010285800462773782,-0.04195553167821128,-0.0016351938641380598,0.0340925080073405,0.0,410.97954938698894,0.14686003449315907
RBC,GCST90018971,Red blood cell count,cg18129748,106528,4,ivw_re,-0.03575497348147339,0.03554531638122249,-0.10542379358866946,0.033913846625722686,0.31446449193881415,1.3294310347300442e-05,93.81870373504762,0.5680648886636642
RBC,GCST90018971,Red blood cell count,cg19490609,12268,24,ivw_re,0.012581818679969317,0.008418094100463383,-0.0039176457569389134,0.02908128311687755,0.13501467100196762,0.0,193.27971619765344,0.35166611981907847
RBC,GCST90018971,Red blood cell count,cg24308560,106528,29,ivw_re,-0.00828494652902768,0.004981478981733079,-0.018048645333224513,0.001478752275169153,0.09628242298464838,0.0,576.5815219388185,0.2914494966021789
RBC,GCST90018971,Red blood cell count,cg25753631,12268,29,ivw_re,-0.012635638582173972,0.006243083453435104,-0.024872082150906777,-0.0003991950134411681,0.042976123579689246,0.0,333.18061369475754,0.1703091038725646
RBC,GCST90018971,Red blood cell count,cg27360567,106528,20,ivw_re,-0.014848180996853767,0.007375562563955395,-0.029304283622206342,-0.0003920783715011932,0.04409789296700333,0.0,355.26006743156677,0.1703091038725646
SBP,GCST90310294,Systolic blood pressure,cg00387872,12268,54,ivw_re,0.07092308131714672,0.05364105968733239,-0.034213395670024765,0.17605955830431821,0.18610856050614502,0.0,549.5690036314566,0.41065591846226035
SBP,GCST90310294,Systolic blood pressure,cg15445000,84604,13,ivw_fe,-0.04336061064202359,0.03620565415912229,-0.11432369279390328,0.027602471509856098,0.23106503901099068,0.1057793950021017,459.3382319883263,0.46213007802198136
