bin,set,NP_NP,Normal_1stT,Normal_2ndT,Normal_3rdT,Normal_delivery,PreX_1stT,PreX_2ndT,PreX_3rdT,PreX_delivery,GDM_1stT,GDM_2ndT,GDM_3rdT,GDM_delivery,cHTN_1stT,cHTN_2ndT,cHTN_3rdT,cHTN_delivery
2846,Placenta-HIGH,0.0416666666666667,0.0795454545454545,0.079295154185022,0.241803278688525,0.26984126984127,0.0945273631840796,0.126696832579186,0.127450980392157,0.131782945736434,0.189189189189189,0.0868347338935574,0.443298969072165,0.268361581920904,0.0561797752808989,,0.170731707317073,0.25
2867,Placenta-HIGH,0.0666666666666667,0.09,0.121794871794872,0.305825242718447,0.268965517241379,0.0604026845637584,0.0379746835443038,0.22093023255814,0.212121212121212,0.152173913043478,0.26271186440678,0.263636363636364,0.264044943820225,0,,,0.319148936170213
2901,Placenta-HIGH,0.540983606557377,0.514619883040936,0.432432432432432,0.601449275362319,0.548387096774194,0.490322580645161,0.566037735849057,0.57037037037037,0.616822429906542,0.584070796460177,0.464788732394366,0.578125,0.544303797468355,,0.4,,0.785714285714286
2912,Placenta-HIGH,0.431034482758621,0.432432432432432,0.323651452282158,0.49618320610687,0.428969359331476,0.40655737704918,0.46474358974359,0.467289719626168,0.443609022556391,0.456066945606695,0.411575562700965,0.625,0.531827515400411,0.32,0.477272727272727,0.391304347826087,0.63855421686747
2923,T-cells,0.14018691588785,0.196428571428571,0.0869565217391304,0.324503311258278,0.239130434782609,0.0476190476190476,0.0720720720720721,0.215686274509804,0.130232558139535,0.137931034482759,0.0984848484848485,0.25748502994012,0.378048780487805,,0.0277777777777778,0.313725490196078,0.533333333333333
2926,Placenta-HIGH,0.212244897959184,0.16030534351145,0.188,0.311926605504587,0.36734693877551,0.191176470588235,0.282608695652174,0.363207547169811,0.275862068965517,0.212328767123288,0.224409448818898,0.394285714285714,0.29957805907173,0.247422680412371,0.155172413793103,0.403508771929825,0.2
2936,T-cells,0.0398009950248756,0.0397350993377483,0.0555555555555556,0.0816326530612245,0.072463768115942,0.0193236714975845,0.00806451612903226,0.036036036036036,0.0212765957446809,0.04,0.0454545454545455,0.0308641975308642,0.0355731225296443,0.152173913043478,,0.0232558139534884,0.232558139534884
2985,Placenta-HIGH,0.644295302013423,0.583333333333333,0.674757281553398,0.688963210702341,0.71864406779661,0.631970260223048,0.607142857142857,0.634782608695652,0.686375321336761,0.668965517241379,0.555932203389831,0.611111111111111,0.641975308641975,0.413793103448276,0.517857142857143,0.533333333333333,0.614457831325301
2989,Placenta-HIGH,0.488235294117647,0.467391304347826,0.503311258278146,0.610738255033557,0.581699346405229,0.570469798657718,0.529411764705882,0.540740740740741,0.459090909090909,0.373626373626374,0.441379310344828,0.647058823529412,0.583333333333333,,0.529411764705882,0.441176470588235,0.526315789473684
2992,T-cells,0.0050761421319797,0.027027027027027,0.0765027322404372,0.0123456790123457,0.005,0.0333333333333333,0.0310077519379845,0.0588235294117647,0.0147492625368732,,0.0212765957446809,0.0136054421768707,0.00492610837438424,0,0,0.0217391304347826,0
